station_id,country,region,Name,Name2,lat,lon,elevation,year,Tem1,Tem2,Tem3,Tem4,Tem5,Tem6,Tem7,Tem8,Tem9,Tem10,Tem11,Tem12,Os1,Os2,Os3,Os4,Os5,Os6,Os7,Os8,Os9,Os10,Os11,Os12
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1937,,,,,,,,,,,,,56,68,13,59.0,15.0,0.8,16.0,34.0,10.0,91.0,122.0,99.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1938,,,,,,,,,,,,,62,67,38,45.0,68.0,5.0,7.0,0.0,43.0,59.0,22.0,96.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1939,,,,,,,,,,,,,66,17,132,1.0,27.0,54.0,5.0,11.0,31.0,40.0,120.0,208.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1940,,,,,,,,,,,,,71,65,72,166.0,39.0,100.0,33.0,,8.0,55.0,62.0,238.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1941,,,,,,,,,,,,,120,128,17,44.0,40.0,16.0,4.0,,9.0,83.0,28.0,68.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1942,,,,,,,,,,,,,157,95,30,30.0,46.0,6.0,23.0,19.0,18.0,60.0,136.0,36.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1943,,,,,,,,,,,,,156,20,11,73.0,102.0,19.0,0.6,,43.0,15.0,89.0,98.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1944,,,,,,,,,,,,,60,215,204,24.0,50.0,6.0,14.0,15.0,18.0,107.0,69.0,26.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1945,,,,,,,,,,,,,216,34,40,52.0,2.0,0.0,0.2,,1.0,32.0,37.0,131.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1946,,,,,,,,,,,,,37,102,89,16.0,30.0,6.0,0.3,,1.0,58.0,93.0,104.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1947,,,,,,,,,,,,,80,73,50,13.0,6.0,6.0,5.0,42.0,5.0,80.0,82.0,148.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1948,,,,,,,,,,,,,88,107,56,51.0,54.0,63.0,,,0.0,17.0,9.0,14.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1949,,,,,,,,,,,,,39,14,118,59.0,26.0,48.0,49.0,10.0,28.0,,47.0,82.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1950,1.4,5.0,7.8,15.6,17.2,22.1,24.9,23.7,22.1,13.5,9.0,8.7,112,39,35,36.0,65.0,13.0,2.0,8.0,21.0,21.0,65.0,107.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1951,6.7,8.1,10.5,13.7,19.0,21.2,24.3,25.3,21.8,13.5,11.8,5.1,69,80,70,23.0,69.0,3.0,28.0,4.0,5.0,55.0,45.0,62.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1952,7.0,7.0,8.4,13.4,16.3,20.4,23.1,26.2,24.6,17.4,13.3,11.7,126,194,27,5.0,55.0,15.0,,,11.0,111.0,138.0,39.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1953,7.4,6.9,4.6,12.9,16.6,22.0,24.8,24.7,19.9,15.5,7.5,2.8,107,114,43,29.0,52.0,78.0,,,17.0,58.0,21.0,43.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1954,1.4,2.9,9.1,10.7,17.8,24.1,26.0,26.0,21.9,17.2,11.3,7.2,90,88,45,57.0,42.0,4.0,11.0,0.3,12.0,10.0,72.0,103.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1955,8.7,11.2,9.5,10.6,17.9,21.6,24.8,23.7,21.6,18.3,10.6,8.0,77,82,47,80.0,1.0,6.0,9.0,6.0,0.5,53.0,293.0,49.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1956,6.6,4.8,5.2,13.2,17.1,21.3,24.4,25.5,20.4,14.5,10.0,5.1,63,102,78,32.0,26.0,17.0,13.0,7.0,0.7,10.0,61.0,42.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1957,4.1,7.9,7.5,12.2,16.4,22.3,24.1,25.6,22.2,17.8,11.1,6.4,47,29,24,21.0,42.0,30.0,0.3,,18.0,7.0,83.0,59.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1958,5.7,9.4,9.1,12.8,19.2,21.8,24.5,24.4,19.5,14.8,11.1,8.9,89,18,124,61.0,23.0,15.0,0.4,6.0,30.0,68.0,45.0,103.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1959,5.8,3.0,7.5,12.9,16.7,20.8,24.5,24.6,18.4,13.1,10.0,9.4,143,11,44,28.0,29.0,42.0,45.0,0.0,4.0,37.0,55.0,121.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1960,6.9,6.8,8.0,11.8,17.3,20.6,23.5,24.4,20.1,18.7,13.1,11.1,122,93,45,37.0,84.0,74.0,4.0,0.0,26.0,24.0,63.0,144.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1961,5.1,5.2,8.6,14.6,17.7,21.9,23.5,24.5,18.9,15.7,13.6,8.3,62,64,15,53.0,29.0,45.0,3.0,5.0,8.0,23.0,54.0,60.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1962,6.5,5.1,10.7,12.1,18.2,21.1,23.8,25.6,21.4,17.0,15.3,8.4,62,95,103,42.0,22.0,13.0,4.0,,7.0,59.0,112.0,294.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1963,5.6,8.7,7.0,10.9,16.7,21.7,25.1,25.7,22.4,16.5,11.4,7.8,187,78,47,48.0,30.0,31.0,10.0,,7.0,66.0,49.0,177.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1964,0.3,4.5,8.1,12.6,15.9,22.0,23.6,22.7,19.1,16.5,10.0,8.1,16,73,116,8.0,45.0,2.0,0.0,10.0,65.0,0.0,74.0,153.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1965,5.3,2.9,8.3,11.5,16.7,22.4,24.4,22.4,21.2,13.6,11.4,9.0,43,200,33,148.0,48.0,3.0,0.0,13.0,0.0,16.0,111.0,89.0
