"ID","Name","Name2","Region","Adress","BMO","lat","lon","height","year","Tem1","Tem2","Tem3","Tem4","Tem5","Tem6","Tem7","Tem8","Tem9","Tem10","Tem11","Tem12","Os1","Os2","Os3","Os4","Os5","Os6","Os7","Os8","Os9","Os10","Os11","Os12","","","","","","","","","","","","",""
"1","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.23","29638","54.9108","82.9568","131","1958","-19.7","-11.8","-14.1","9.1","15.0","18.6","16.4","8.2","2.1","-5.0","-15.9","-18.1","5","9","6","20","26","29","54","35","48","22","21","16","","","","","","","","","","","","",""
"2","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.24","29639","54.9109","82.9569","132","1959","-18.1","-14.2","-7.2","10.6","17.2","18.7","15.4","12.0","0.6","-14.0","-20.7","-20.7","9","10","10","38","37","42","102","50","19","39","18","16","","","","","","","","","","","","",""
"3","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.25","29640","54.9110","82.9570","133","1960","-19.8","-14.9","-15.2","9.2","15.6","16.8","14.5","10.1","0.6","-13.8","-15.8","-15.8","11","7","9","9","41","76","75","74","45","20","29","16","","","","","","","","","","","","",""
"4","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.26","29641","54.9111","82.9571","134","1961","-15.2","-15","-7.8","11.0","15.2","19.4","15.9","10.4","-3.6","-8.0","-12.8","-12.8","21","15","4","14","27","20","50","66","51","48","22","13","","","","","","","","","","","","",""
"5","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.27","29642","54.9112","82.9572","135","1962","-13.8","-13.2","-6","14.1","18.1","20.8","16.7","10.4","1.0","-12.6","-13.4","-13.4","12","0.8","7","19","48","32","38","63","36","29","24","31","","","","","","","","","","","","",""
"6","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.28","29643","54.9113","82.9573","136","1963","-15.8","-11.6","-8.5","9.2","17.2","19.5","15.2","9.0","3.4","-2.5","-11.0","-11","16","16","23","10","20","11","35","150","62","45","49","32","","","","","","","","","","","","",""
"7","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.29","29644","54.9114","82.9574","137","1964","-10.1","-19.8","-13.1","11.1","16.4","20.0","17.0","10.7","-1.0","-3.9","-11.2","-11.2","24","4","15","21","36","57","66","59","27","36","17","35","","","","","","","","","","","","",""
"8","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.30","29645","54.9115","82.9575","138","1965","-17.2","-15.5","-5.8","14.7","19.6","22.2","16.7","10.8","2.6","-10.8","-17.4","-17.4","15","5","6","15","11","47","34","73","73","46","18","17","","","","","","","","","","","","",""
"9","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.31","29646","54.9116","82.9576","139","1966","-21.9","-18.7","-10.1","9.0","16.6","19.4","17.5","13.8","0.7","-11.7","-26.7","-26.7","34","29","26","28","34","64","15","36","18","52","40","19","","","","","","","","","","","","",""
"10","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.32","29647","54.9117","82.9577","140","1967","-19.1","-17.4","-8.4","11.3","16.8","20.6","14.1","7.8","4.9","-10.0","-11.5","-11.5","8","17","12","21","10","52","66","59","50","28","9","5","","","","","","","","","","","","",""
"11","NSK","Новосибирск","Новосибирская","Новосибирский район, п. Элитный, ул. Минеральная, д.33","29648","54.9118","82.9578","141","1968","-17.4","-15.6","-3.8","11.2","14.6","19.2","16.1","6.9","0.6","-15.2","-24.0","-24","7","13","19","21","40","26","52","32","8","34","55","37","","","","","","","","","","","","",""
