,year,Tem1,Tem2,Tem3,Tem4,Tem5,Tem6,Tem7,Tem8,Tem9,Tem10,Tem11,Tem12,Os5,Os6,Os7,Os8,Tem5_active,Tem6_active,Tem7_active,Tem8_active,tem_active,sum_osadki,GTK
0,1958,-19.7,-11.8,-14.1,9.1,15.0,18.6,16.4,8.2,2.1,-5.0,-15.9,-18.1,26,29,54,35,465.0,558.0,576.6,558.0,2157.6,137,0.63
1,1959,-18.1,-14.2,-7.2,10.6,17.2,18.7,15.4,12.0,0.6,-14.0,-20.7,-20.7,37,42,102,50,533.1999999999999,561.0,579.6999999999999,561.0,2234.8999999999996,246,1.1
2,1960,-19.8,-14.9,-15.2,9.2,15.6,16.8,14.5,10.1,0.6,-13.8,-15.8,-15.8,41,76,75,74,483.59999999999997,504.0,520.8000000000001,504.0,2012.4,226,1.12
3,1961,-15.2,-15.0,-7.8,11.0,15.2,19.4,15.9,10.4,-3.6,-8.0,-12.8,-12.8,27,20,50,66,471.2,582.0,601.4,582.0,2236.6,120,0.54
4,1962,-13.8,-13.2,-6.0,14.1,18.1,20.8,16.7,10.4,1.0,-12.6,-13.4,-13.4,48,32,38,63,561.1,624.0,644.8000000000001,624.0,2453.9,108,0.44
5,1963,-15.8,-11.6,-8.5,9.2,17.2,19.5,15.2,9.0,3.4,-2.5,-11.0,-11.0,20,11,35,150,533.1999999999999,585.0,604.5,585.0,2307.7,81,0.35
6,1964,-10.1,-19.8,-13.1,11.1,16.4,20.0,17.0,10.7,-1.0,-3.9,-11.2,-11.2,36,57,66,59,508.4,600.0,620.0,600.0,2328.4,189,0.81
7,1965,-17.2,-15.5,-5.8,14.7,19.6,22.2,16.7,10.8,2.6,-10.8,-17.4,-17.4,11,47,34,73,607.6,666.0,688.1999999999999,666.0,2627.7999999999997,115,0.44
8,1966,-21.9,-18.7,-10.1,9.0,16.6,19.4,17.5,13.8,0.7,-11.7,-26.7,-26.7,34,64,15,36,514.6,582.0,601.4,582.0,2280.0,94,0.41
9,1967,-19.1,-17.4,-8.4,11.3,16.8,20.6,14.1,7.8,4.9,-10.0,-11.5,-11.5,10,52,66,59,520.8000000000001,618.0,638.6,618.0,2395.4,184,0.77
10,1968,-17.4,-15.6,-3.8,11.2,14.6,19.2,16.1,6.9,0.6,-15.2,-24.0,-24.0,40,26,52,32,452.59999999999997,576.0,595.1999999999999,576.0,2199.7999999999997,130,0.59
