date,model,predicted
2026-01-01,ARIMA,-0.788882340357772
2026-02-01,ARIMA,-0.7070613103782436
2026-03-01,ARIMA,-0.31807235796375005
2026-04-01,ARIMA,0.134707810570167
2026-05-01,ARIMA,0.08247844832049926
2026-06-01,ARIMA,-0.12492266503459769
2026-07-01,ARIMA,-0.3210909720749979
2026-08-01,ARIMA,-0.2879057508980307
2026-09-01,ARIMA,-0.18108297272211032
2026-10-01,ARIMA,-0.09639084167844364
2026-11-01,ARIMA,-0.1167647879973817
2026-12-01,ARIMA,-0.1704761534164052
2027-01-01,ARIMA,-0.20679130550487332
2027-02-01,ARIMA,-0.1947434605048999
2027-03-01,ARIMA,-0.16821858533603057
2027-04-01,ARIMA,-0.15280791072618966
2027-05-01,ARIMA,-0.15969764391400776
2027-06-01,ARIMA,-0.17261072870699543
2027-07-01,ARIMA,-0.1790560263592694
2027-08-01,ARIMA,-0.17522607151383487
2027-09-01,ARIMA,-0.16901450086058029
2027-10-01,ARIMA,-0.16637191198130918
2027-11-01,ARIMA,-0.16845105624791776
2027-12-01,ARIMA,-0.1714076994634201
2026-01-01,SARIMA,0.16014214244047792
2026-02-01,SARIMA,0.09031684180332031
2026-03-01,SARIMA,0.01774288532077259
2026-04-01,SARIMA,-0.007516106749819715
2026-05-01,SARIMA,-0.018663117788077544
2026-06-01,SARIMA,-0.024387770820471194
2026-07-01,SARIMA,-0.053959077988832774
2026-08-01,SARIMA,-0.08393495924794542
2026-09-01,SARIMA,-0.059382228819494356
2026-10-01,SARIMA,0.014851502604016686
2026-11-01,SARIMA,0.009493548093987197
2026-12-01,SARIMA,-0.01234627903606295
2027-01-01,SARIMA,-0.01565056921673333
2027-02-01,SARIMA,-0.01802312086130804
2027-03-01,SARIMA,-0.02040877945211541
2027-04-01,SARIMA,-0.021272169577174458
2027-05-01,SARIMA,-0.021666814949521766
2027-06-01,SARIMA,-0.021874605814926146
2027-07-01,SARIMA,-0.022815822883500255
2027-08-01,SARIMA,-0.0237628373259123
2027-09-01,SARIMA,-0.023003447981122624
2027-10-01,SARIMA,-0.02069058048590356
2027-11-01,SARIMA,-0.020860566583988452
2027-12-01,SARIMA,-0.02154401491868677
2026-01-01,XGBoost,-0.14043645560741425
2026-02-01,XGBoost,-0.3694574534893036
2026-03-01,XGBoost,-0.8972377777099609
2026-04-01,XGBoost,-1.1490083932876587
2026-05-01,XGBoost,-1.0756018161773682
2026-06-01,XGBoost,-1.0847086906433105
2026-07-01,XGBoost,-1.3766511678695679
2026-08-01,XGBoost,-1.6132973432540894
2026-09-01,XGBoost,-1.1548081636428833
2026-10-01,XGBoost,0.08311426639556885
2026-11-01,XGBoost,0.11421825736761093
2026-12-01,XGBoost,-0.32239967584609985
2027-01-01,XGBoost,-0.6486209034919739
2027-02-01,XGBoost,-0.8436588048934937
2027-03-01,XGBoost,-1.1514354944229126
2027-04-01,XGBoost,-1.3326681852340698
2027-05-01,XGBoost,-1.3727827072143555
2027-06-01,XGBoost,-1.3850996494293213
2027-07-01,XGBoost,-1.4651602506637573
2027-08-01,XGBoost,-1.5688291788101196
2027-09-01,XGBoost,-1.4214441776275635
2027-10-01,XGBoost,-0.6558338403701782
2027-11-01,XGBoost,-0.3438878059387207
2027-12-01,XGBoost,-0.3469318747520447
2026-01-01,LSTM,-1.060626540888515
2026-02-01,LSTM,-0.6733547353742585
2026-03-01,LSTM,-0.3325051058295369
2026-04-01,LSTM,-0.36892812960632715
2026-05-01,LSTM,-0.48783404314286966
2026-06-01,LSTM,-0.5115374073191812
2026-07-01,LSTM,-0.5000271422563602
2026-08-01,LSTM,-0.4928446753562177
2026-09-01,LSTM,-0.48833857405846337
2026-10-01,LSTM,-0.4787143378922076
2026-11-01,LSTM,-0.4678626454196274
2026-12-01,LSTM,-0.45303509062005987
2027-01-01,LSTM,-0.4339042884371915
2027-02-01,LSTM,-0.4126216559062807
2027-03-01,LSTM,-0.39392817998030566
2027-04-01,LSTM,-0.3833409250270151
2027-05-01,LSTM,-0.3817237974278082
2027-06-01,LSTM,-0.38773196004566624
2027-07-01,LSTM,-0.3985755515876773
2027-08-01,LSTM,-0.41329196657959094
2027-09-01,LSTM,-0.43182598643344666
2027-10-01,LSTM,-0.44984625849662246
2027-11-01,LSTM,-0.45730634759386857
2027-12-01,LSTM,-0.45575563935907215
