date;temperature;precipitation;humidity;evaporation;GTK
2020-01-01;-13.262;1.0;80.125;0.159;
2020-01-02;-0.975;10.0;90.625;0.314;
2020-01-03;-2.838;0.6;80.25;0.563;
2020-01-04;-5.512;0.0;78.75;0.469;
2020-01-05;-2.412;0.2;83.25;0.496;
2020-01-06;-6.1;0.0;84.375;0.324;
2020-01-07;-7.512;0.8;86.125;0.246;
2020-01-08;-9.725;1.2;84.375;0.212;
2020-01-09;-12.975;1.0;83.625;0.137;
2020-01-10;-17.062;0.2;79.625;0.075;
2020-01-11;-16.775;0.3;79.25;0.082;
2020-01-12;-14.462;0.0;77.875;0.143;
2020-01-13;-13.025;1.0;83.75;0.135;
2020-01-14;-10.425;1.1;80.625;0.239;
2020-01-15;-6.812;2.7;82.25;0.341;
2020-01-16;-5.762;2.4;84.625;0.33;
2020-01-17;-7.5;4.2;85.375;0.26;
2020-01-18;-9.538;3.2;77.5;0.312;
2020-01-19;-9.662;2.7;80.5;0.266;
2020-01-20;-18.725;0.0;78.625;0.049;
2020-01-21;-19.612;0.0;80.75;0.032;
2020-01-22;-15.712;0.7;83.0;0.085;
2020-01-23;-5.562;1.6;84.75;0.335;
2020-01-24;-1.388;4.0;90.875;0.295;
2020-01-25;-1.9;5.0;81.125;0.585;
2020-01-26;-9.575;0.0;73.75;0.363;
2020-01-27;-7.088;0.2;71.875;0.524;
2020-01-28;-4.088;1.0;78.875;0.536;
2020-01-29;-11.188;5.0;79.75;0.224;
2020-01-30;-22.712;0.4;73.75;0.008;
2020-01-31;-21.825;0.0;76.25;0.014;
2020-02-01;-18.488;0.0;76.25;0.063;
2020-02-02;-14.975;0.0;64.875;0.219;
2020-02-03;-10.175;0.0;58.5;0.566;
2020-02-04;-4.675;5.0;84.0;0.41;
2020-02-05;-4.275;0.4;81.875;0.483;
2020-02-06;-1.438;0.3;83.125;0.582;
2020-02-07;-4.588;2.9;81.375;0.482;
2020-02-08;0.088;3.0;77.375;0.884;
2020-02-09;0.688;8.0;91.0;0.369;
2020-02-10;-11.65;4.0;81.625;0.203;
2020-02-11;-19.162;0.0;78.5;0.045;
2020-02-12;-15.638;0.0;71.25;0.156;
2020-02-13;-11.425;0.0;64.625;0.405;
2020-02-14;-7.5;0.0;72.875;0.516;
2020-02-15;-6.412;0.0;77.0;0.493;
2020-02-16;-8.0;0.0;78.875;0.379;
2020-02-17;-4.725;0.0;76.25;0.606;
