date;days;temperature;precipitation;humidity;evaporation;GTK
2020-01-01;10;-7.838;15.0;83.112;2.995;
2020-01-11;10;-11.269;17.6;81.038;2.157;
2020-01-21;11;-10.968;17.9;79.523;3.002;
2020-02-01;10;-6.949;23.6;78.0;4.26;
2020-02-11;10;-8.979;7.1;77.362;3.642;
2020-02-21;9;-3.642;10.9;78.681;5.431;
2020-03-01;10;-5.464;13.8;75.338;5.556;
2020-03-11;10;-1.068;1.0;67.6;10.958;
2020-03-21;11;-1.517;2.4;63.122;12.965;
2020-04-01;10;4.935;0.4;51.775;26.011;
2020-04-11;10;9.401;3.0;44.338;40.586;0.622
2020-04-21;10;15.454;2.7;40.7;59.798;0.175
2020-05-01;10;12.425;27.0;57.325;37.792;2.898
2020-05-11;10;21.193;1.2;43.038;71.236;0.057
2020-05-21;11;15.958;24.3;63.227;39.858;1.384
2020-06-01;10;14.52;17.4;60.212;37.703;1.282
2020-06-11;10;17.355;9.4;56.8;47.06;0.542
2020-06-21;10;20.861;7.0;47.012;67.524;0.336
2020-07-01;10;22.158;30.0;61.75;49.93;1.354
2020-07-11;10;22.251;5.0;54.838;58.852;0.225
2020-07-21;11;17.975;40.6;66.216;39.993;2.053
2020-08-01;10;22.83;3.3;55.438;59.744;0.145
2020-08-11;10;19.366;12.5;67.388;38.155;0.645
2020-08-21;11;16.922;29.0;68.341;35.916;1.558
2020-09-01;10;12.358;14.6;72.662;24.503;1.867
2020-09-11;10;13.568;4.1;62.588;33.931;0.302
2020-09-21;10;8.895;30.1;66.388;24.105;10.299
2020-10-01;10;3.392;9.2;74.412;12.332;
2020-10-11;10;6.309;16.9;70.712;17.092;16.27
2020-10-21;11;2.248;30.6;73.989;14.057;
2020-11-01;10;2.321;9.7;75.825;11.787;
2020-11-11;10;-6.695;21.1;81.225;4.191;
2020-11-21;10;-8.531;0.9;79.375;3.611;
2020-12-01;10;-15.369;12.3;81.225;1.019;
2020-12-11;10;-10.228;10.5;75.925;3.199;
2020-12-21;11;-20.814;21.2;72.682;1.327;
2021-01-01;10;-25.178;4.8;69.588;0.505;
2021-01-11;10;-18.131;6.0;72.238;1.201;
2021-01-21;11;-18.199;19.3;72.568;1.694;
2021-02-01;10;-10.625;21.2;75.012;3.541;
2021-02-11;10;-15.685;17.2;70.948;2.465;
2021-02-21;8;-19.966;4.7;69.016;0.466;
2021-03-01;10;-7.71;14.6;74.675;4.627;
2021-03-11;10;-9.275;3.5;65.379;5.75;
2021-03-21;11;-1.031;17.5;74.227;9.544;
2021-04-01;10;2.165;0.1;58.925;18.833;
2021-04-11;10;3.785;2.7;52.775;23.93;2.411
2021-04-21;10;7.414;9.1;45.838;34.861;1.67
2021-05-01;10;12.662;17.0;39.138;52.193;1.512
2021-05-11;10;15.412;6.9;46.5;51.126;0.467
2021-05-21;11;17.507;9.9;49.489;59.301;0.535
2021-06-01;10;17.592;24.3;46.862;59.24;1.381
2021-06-11;10;18.726;4.1;49.9;58.972;0.219
2021-06-21;10;15.3;42.8;71.75;28.284;2.797
2021-07-01;10;22.105;20.4;57.125;55.541;0.923
2021-07-11;10;19.645;10.6;62.65;44.344;0.54
2021-07-21;11;21.403;5.0;56.057;60.583;0.212
2021-08-01;10;20.685;15.1;67.462;40.431;0.73
2021-08-11;10;17.782;29.2;68.788;34.004;1.642
2021-08-21;11;18.693;2.1;61.648;48.113;0.102
2021-09-01;10;15.098;6.1;60.112;39.507;0.404
2021-09-11;10;11.251;33.1;66.562;27.788;4.062
2021-09-21;10;4.046;15.3;79.65;10.317;
2021-10-01;10;4.031;19.9;77.025;11.709;
2021-10-11;10;3.888;2.0;63.688;17.755;
2021-10-21;11;4.142;7.9;60.398;22.27;
2021-11-01;10;-5.529;15.6;72.738;7.553;
2021-11-11;10;-6.301;31.0;82.588;3.481;
2021-11-21;10;-6.81;14.2;74.562;5.31;
2021-12-01;10;-8.179;12.4;78.238;4.032;
2021-12-11;10;-9.684;21.0;79.112;2.933;
2021-12-21;11;-8.785;10.8;80.705;3.478;
2022-01-01;10;-9.478;7.2;75.925;3.519;
2022-01-11;10;-12.984;3.9;78.162;2.475;
2022-01-21;11;-15.598;5.3;77.773;1.469;
2022-02-01;10;-11.181;3.8;72.275;3.238;
2022-02-11;10;-12.3;11.7;73.338;2.698;
2022-02-21;8;-5.316;6.7;72.953;5.356;
2022-03-01;10;-7.132;9.7;71.741;5.234;
2022-03-11;10;-10.608;0.2;52.412;5.645;
2022-03-21;11;-2.78;7.3;69.489;9.746;
2022-04-01;10;3.958;12.2;66.125;17.765;
2022-04-11;10;8.104;0.0;33.8;45.085;0.0
2022-04-21;10;7.851;4.7;46.925;41.959;0.7
2022-05-01;10;10.23;1.0;35.062;47.28;0.158
2022-05-11;10;19.246;8.0;32.588;76.116;0.416
2022-05-21;11;20.256;2.2;37.693;82.37;0.099
2022-06-01;10;12.674;25.5;50.688;42.97;2.557
2022-06-11;10;20.402;15.9;57.962;55.614;0.779
2022-06-21;10;20.746;36.6;61.0;49.31;1.764
2022-07-01;10;19.548;14.5;59.088;48.542;0.742
2022-07-11;10;19.388;2.4;53.188;54.019;0.124
2022-07-21;11;20.755;29.1;63.273;50.309;1.275
2022-08-01;10;20.121;6.9;58.012;49.679;0.343
2022-08-11;10;15.739;18.8;66.362;34.361;1.195
2022-08-21;11;16.403;6.0;61.466;43.43;0.333
2022-09-01;10;16.295;1.0;52.538;49.032;0.061
2022-09-11;10;10.884;3.0;56.45;34.255;0.358
2022-09-21;10;8.131;17.4;63.225;28.966;2.431
2022-10-01;10;6.09;4.8;63.838;21.087;3.75
2022-10-11;10;6.222;7.4;67.5;18.744;7.158
2022-10-21;11;2.252;12.9;70.955;14.241;12.585
2022-11-01;10;0.097;0.5;76.262;9.014;
2022-11-11;10;-4.211;22.7;80.175;5.147;
2022-11-21;10;-20.828;1.0;70.362;0.805;
2022-12-01;10;-19.204;2.4;74.188;0.591;
2022-12-11;10;-17.995;21.6;76.762;0.904;
2022-12-21;11;-12.838;18.9;77.545;2.367;
2023-01-01;10;-9.936;15.2;77.912;3.123;
2023-01-11;10;-15.153;14.4;75.662;1.869;
2023-01-21;11;-12.562;29.0;77.261;2.592;
2023-02-01;10;-16.988;2.3;76.025;1.106;
2023-02-11;10;-14.526;1.9;70.723;2.208;
2023-02-21;8;-4.521;11.0;73.276;5.693;
2023-03-01;10;-2.869;23.0;74.854;7.202;
2023-03-11;10;-2.398;14.0;56.775;13.055;
2023-03-21;11;-0.442;4.0;63.239;13.538;
2023-04-01;10;-0.801;2.5;46.75;18.886;
2023-04-11;10;-1.738;6.1;48.5;17.264;
2023-04-21;10;8.345;0.4;40.938;40.881;0.094
2023-05-01;10;11.921;2.4;38.562;54.37;0.241
2023-05-11;10;10.235;4.0;36.35;47.263;0.618
2023-05-21;11;16.107;0.4;31.989;74.021;0.023
2023-06-01;10;25.035;5.0;40.796;92.756;0.2
2023-06-11;10;18.674;0.9;45.4;63.235;0.048
2023-06-21;10;16.451;17.2;53.788;47.552;1.046
2023-07-01;10;21.706;29.8;55.05;57.77;1.373
2023-07-11;10;23.821;2.9;58.462;58.112;0.122
2023-07-21;11;21.622;18.5;65.466;48.248;0.778
2023-08-01;10;22.186;24.3;58.568;53.505;1.095
2023-08-11;10;14.944;57.4;76.411;22.121;3.841
2023-08-21;11;18.472;31.9;70.989;35.756;1.57
2023-09-01;10;14.609;36.5;68.993;29.76;2.499
2023-09-11;10;13.997;0.0;71.07;26.747;0.0
2023-09-21;10;9.241;20.1;75.412;17.84;6.756
2023-10-01;10;9.8;0.0;66.05;24.357;0.0
2023-10-11;10;9.024;3.5;68.802;21.589;0.712
2023-10-21;11;0.812;22.0;76.966;9.938;
2023-11-01;10;-3.379;11.7;85.586;3.923;
2023-11-11;10;2.233;12.5;83.441;7.49;
2023-11-21;10;-5.192;7.9;81.562;4.112;
2023-12-01;10;-15.499;31.4;83.638;1.661;
2023-12-11;10;-22.339;10.6;79.038;0.364;
2023-12-21;11;-3.039;11.7;90.364;3.227;
2024-01-01;10;-11.315;16.3;86.111;1.387;
2024-01-11;10;-17.196;6.2;74.666;1.597;
2024-01-21;11;-12.534;3.7;76.568;2.951;
2024-02-01;10;-4.65;15.5;78.95;5.706;
2024-02-11;10;-20.276;11.4;74.662;0.779;
2024-02-21;9;-15.939;1.0;73.468;1.221;
2024-03-01;10;-6.176;21.1;84.842;3.067;
2024-03-11;10;-4.629;9.4;79.488;5.332;
2024-03-21;11;0.003;5.9;73.886;10.255;
2024-04-01;10;4.014;5.1;79.175;10.854;
2024-04-11;10;4.788;12.1;62.7;19.234;11.551
2024-04-21;10;5.541;6.8;51.575;28.069;3.132
2024-05-01;10;10.62;19.4;53.125;36.76;2.664
2024-05-11;10;14.882;15.6;49.35;47.838;1.123
2024-05-21;11;10.403;20.7;65.159;27.401;2.64
2024-06-01;10;15.137;57.9;65.998;32.255;3.825
2024-06-11;10;21.144;30.0;62.5;48.725;1.419
2024-06-21;10;26.069;5.1;61.025;61.787;0.196
2024-07-01;10;21.381;36.7;69.732;38.095;1.716
2024-07-11;10;23.355;15.8;64.638;48.938;0.677
2024-07-21;11;23.317;33.0;69.828;45.54;1.287
2024-08-01;10;21.719;25.3;72.875;35.885;1.165
2024-08-11;10;19.606;25.3;69.775;35.939;1.29
2024-08-21;11;16.588;45.5;78.784;24.045;2.494
2024-09-01;10;12.37;61.6;82.775;14.441;5.388
2024-09-11;10;9.662;0.7;71.525;20.576;0.148
2024-09-21;10;8.705;5.8;68.25;23.093;1.084
2024-10-01;10;8.606;4.0;57.85;28.185;1.171
2024-10-11;10;0.057;0.0;69.538;10.997;
2024-10-21;11;3.958;19.3;86.33;7.571;
2024-11-01;10;-0.161;12.2;79.75;8.14;
2024-11-11;10;-5.422;11.6;82.55;4.261;
2024-11-21;10;-5.965;1.9;85.762;3.291;
2024-12-01;10;-10.224;9.3;88.962;1.441;
2024-12-11;10;-8.326;4.0;70.312;5.443;
2024-12-21;9;-11.404;7.4;85.653;1.56;
2025-01-01;10;-7.017;14.6;91.085;1.594;
2025-01-11;10;-6.972;4.8;83.475;3.091;
2025-01-21;11;-13.105;6.1;74.898;2.326;
2025-02-01;10;-11.024;15.0;82.9;2.076;
2025-02-11;10;-8.139;8.4;87.788;2.217;
2025-02-21;8;-8.562;3.0;73.359;3.648;
2025-03-01;10;-7.341;2.8;81.062;3.724;
2025-03-11;10;-1.882;6.2;62.362;13.282;
2025-03-21;11;0.441;7.3;67.989;13.736;
2025-04-01;10;6.501;8.4;62.038;23.339;6.774
2025-04-11;10;6.469;30.6;65.213;25.555;6.449
2025-04-21;10;10.395;13.8;49.738;38.361;1.832
2025-05-01;10;13.732;10.8;50.35;43.474;0.954
2025-05-11;10;12.054;23.0;61.238;31.459;2.238
2025-05-21;11;13.584;8.0;58.239;43.617;0.645
2025-06-01;10;21.022;27.0;58.388;54.123;1.284
2025-06-11;10;24.432;6.0;58.366;61.713;0.246
2025-06-21;10;20.155;10.7;62.05;46.716;0.531
2025-07-01;10;21.301;30.1;71.512;36.656;1.413
2025-07-11;10;19.58;43.6;71.2;33.755;2.227
2025-07-21;6;16.858;1.4;56.545;26.9;0.138
2025-12-11;2;-7.381;9.0;93.812;0.216;
2025-12-21;11;-11.444;17.2;79.682;3.008;
2026-01-01;1;-3.588;1.0;85.75;0.379;
