date;temperature;precipitation;humidity;evaporation;GTK;SPI_3;SPEI_3
2020-01-01;-10.055;50.5;81.169;8.154;;;
2020-02-01;-6.622;41.6;77.991;13.332;;;
2020-03-01;-2.645;17.2;68.507;29.479;;0.811;0.259
2020-04-01;9.93;6.1;45.604;126.395;0.301;-0.657;-1.468
2020-05-01;16.507;52.5;54.81;148.885;1.092;-0.192;-0.495
2020-06-01;17.579;33.8;54.675;152.287;0.653;-0.404;-0.402
2020-07-01;20.704;75.6;61.105;148.775;1.178;0.276;0.16
2020-08-01;19.616;44.8;63.871;133.816;0.737;-1.578;0.246
2020-09-01;11.607;48.8;67.212;82.539;2.008;-0.049;-0.094
2020-10-01;3.927;56.7;73.069;43.481;54.585;0.072;0.022
2020-11-01;-4.302;31.7;78.808;19.588;;0.752;0.111
2020-12-01;-15.642;44.0;76.484;5.546;;0.973;1.152
2021-01-01;-20.428;30.1;71.5;3.401;;-0.049;-0.23
2021-02-01;-15.101;43.1;71.847;6.472;;0.968;0.96
2021-03-01;-5.845;35.6;71.517;19.921;;0.79;1.129
2021-04-01;4.455;11.9;52.512;77.623;1.812;0.873;0.843
2021-05-01;15.269;33.8;45.185;162.62;0.759;0.021;0.275
2021-06-01;17.206;71.2;56.171;146.496;1.379;0.186;0.368
2021-07-01;21.062;36.0;58.528;160.467;0.551;-0.184;-0.263
2021-08-01;19.042;46.4;65.827;122.548;0.786;-6.622;0.284
2021-09-01;10.132;54.5;68.775;77.612;2.344;-0.137;-0.462
2021-10-01;4.024;29.8;66.823;51.735;;-0.375;-0.03
2021-11-01;-6.213;60.8;76.629;16.345;;1.031;0.132
2021-12-01;-8.879;44.2;79.395;10.443;;1.063;0.87
2022-01-01;-12.78;16.4;77.302;7.464;;0.723;0.341
2022-02-01;-9.905;22.2;72.848;11.292;;-0.875;-1.102
2022-03-01;-6.709;17.2;64.707;20.625;;-1.593;-1.488
2022-04-01;6.638;16.9;48.95;104.809;1.571;-1.176;-0.923
2022-05-01;16.696;11.2;35.198;205.767;0.234;-1.394;-1.59
2022-06-01;17.941;78.0;56.55;147.894;1.526;-0.071;-0.632
2022-07-01;19.924;46.0;58.669;152.87;0.745;-0.317;-0.695
2022-08-01;17.388;31.7;61.931;127.47;0.588;-1.091;0.304
2022-09-01;11.77;21.4;57.404;112.253;0.672;-0.241;-1.515
2022-10-01;4.771;25.1;67.544;54.072;7.518;-1.649;-6.719
2022-11-01;-8.314;24.2;75.6;14.967;;-1.765;-5.275
2022-12-01;-16.555;42.9;76.21;3.862;;-0.603;-0.67
2023-01-01;-12.551;58.6;76.956;7.584;;0.931;1.001
2023-02-01;-12.547;15.2;73.346;9.006;;0.943;0.734
2023-03-01;-1.856;41.0;64.901;33.795;;1.038;0.528
2023-04-01;1.935;9.0;45.396;77.031;2.117;-0.639;-0.254
2023-05-01;12.862;6.8;35.516;175.654;0.199;-0.937;-0.507
2023-06-01;20.053;23.1;46.661;203.543;0.384;-1.784;-1.568
2023-07-01;22.358;51.2;59.847;164.13;0.739;-1.703;-1.506
2023-08-01;18.532;113.6;68.731;111.382;1.977;0.618;-2.46
2023-09-01;12.616;56.6;71.825;74.347;1.848;0.093;0.645
2023-10-01;6.361;25.5;70.811;55.884;2.047;1.059;0.231
2023-11-01;-2.113;32.1;83.53;15.525;;-0.082;0.038
2023-12-01;-13.284;53.7;84.54;5.252;;0.163;-0.027
2024-01-01;-13.645;26.2;79.033;5.936;;0.261;0.234
2024-02-01;-13.542;27.9;75.77;7.706;;0.484;0.419
2024-03-01;-3.484;36.4;79.227;18.654;;0.01;0.254
2024-04-01;4.781;24.0;64.483;58.157;7.456;0.737;1.251
2024-05-01;11.918;55.7;56.177;111.999;1.92;1.348;1.326
2024-06-01;20.783;93.0;63.174;142.767;1.492;1.453;1.394
2024-07-01;22.705;85.5;68.123;132.573;1.215;1.681;1.436
2024-08-01;19.217;96.1;73.972;95.869;1.613;2.05;0.538
2024-09-01;10.246;68.1;74.183;58.11;3.166;0.17;1.34
2024-10-01;4.199;23.3;71.726;46.753;6.82;0.886;0.308
2024-11-01;-3.85;25.7;82.688;15.692;;0.025;0.125
2024-12-01;-9.936;20.7;81.504;8.444;;-1.549;-1.429
2025-01-01;-9.163;25.5;82.886;7.011;;-1.828;-1.995
2025-02-01;-9.29;26.4;81.92;7.94;;-1.462;-1.268
2025-03-01;-2.819;16.3;70.391;30.742;;-1.0;-1.268
2025-04-01;7.788;52.8;58.996;87.255;3.906;1.161;0.403
2025-05-01;13.138;41.8;56.661;118.55;1.229;1.153;0.884
2025-06-01;21.87;43.7;59.601;162.552;0.666;0.684;0.747
2025-07-01;19.614;75.1;67.938;97.311;1.473;0.248;0.864
2025-12-01;-10.819;26.2;81.856;3.224;;;
2026-01-01;-3.588;1.0;85.75;0.379;;;
