дата;температура;осадки;влажность;испаряемость;ГТК
2007-07-25;20.2;0.4;83.0;2.017;0.198
2007-07-26;17.825;3.0;77.5;2.396;1.683
2007-07-27;18.95;;72.5;3.084;
2007-07-28;19.425;;76.25;2.722;
2007-07-29;19.225;1.0;79.0;2.385;0.52
2007-07-30;19.775;;72.75;3.172;
2007-07-31;20.4;;68.75;3.74;
2007-08-01;22.85;;63.5;4.853;
2007-08-02;21.425;3.0;75.5;3.066;1.4
2007-08-03;21.35;;77.25;2.838;
2007-08-04;20.675;;69.25;3.725;
2007-08-05;17.375;;75.75;2.528;
2007-08-06;17.4;0.3;72.0;2.923;0.172
2007-08-07;17.1;4.0;78.0;2.264;2.339
2007-08-08;18.7;;73.8;2.905;
2007-08-09;20.675;11.0;79.75;2.453;5.32
2007-08-10;16.3;0.3;73.0;2.674;0.184
2007-08-11;14.15;;75.25;2.203;
2007-08-12;14.025;0.7;74.0;2.299;0.499
2007-08-13;13.075;5.6;76.0;2.02;4.283
2007-08-14;11.05;;76.75;1.754;
2007-08-15;11.175;3.0;79.75;1.539;2.685
2007-08-16;10.85;2.9;86.5;1.007;2.673
2007-08-17;12.1;;74.5;2.038;
2007-08-18;13.275;0.0;78.5;1.829;0.0
2007-08-19;16.6;;67.25;3.291;
2007-08-20;16.475;0.1;66.75;3.321;0.061
2007-08-21;15.725;;74.5;2.456;
2007-08-22;16.625;4.0;83.75;1.635;2.406
2007-08-23;15.2;;68.0;3.003;
2007-08-24;17.525;;65.75;3.596;
2007-08-25;11.2;4.0;69.25;2.34;3.571
2007-08-26;12.475;;65.75;2.793;
2007-08-27;14.375;2.4;78.5;1.935;1.67
2007-08-28;18.125;;70.25;3.213;
2007-08-29;21.05;;70.5;3.632;
2007-08-30;19.7;;81.333;2.166;
2007-08-31;20.725;;62.5;4.552;
2007-09-01;21.525;;67.25;4.253;
2007-09-02;22.825;;66.5;4.597;
2007-09-03;22.9;;68.25;4.371;
2007-09-04;19.275;;74.25;3.029;
2007-09-05;12.825;5.0;79.25;1.781;3.899
2007-09-06;15.125;;77.5;2.174;
2007-09-07;16.05;;73.0;2.73;
2007-09-08;10.375;4.0;79.75;1.52;3.855
2007-09-09;11.6;;69.0;2.492;
2007-09-10;17.975;0.0;51.5;5.374;0.0
2007-09-11;19.525;;58.0;4.996;
2007-09-12;21.45;;48.0;6.732;
2007-09-13;17.05;;62.75;3.952;
2007-09-14;9.725;2.0;86.0;1.013;
2007-09-15;8.2;;74.25;1.703;
2007-09-16;10.1;;70.25;2.199;
2007-09-17;11.35;;64.25;2.834;
2007-09-18;12.275;;70.0;2.501;
2007-09-19;12.575;;78.0;1.864;
2007-09-20;8.425;2.0;86.5;0.905;
2007-09-21;6.5;6.4;95.0;0.298;
2007-09-22;5.15;2.6;94.5;0.3;
2007-09-23;5.725;0.1;85.25;0.835;
2007-09-24;6.5;;71.5;1.697;
2007-09-25;6.2;;75.25;1.446;
2007-09-26;9.1;3.7;87.0;0.907;
2007-09-27;7.4;0.0;72.75;1.716;
2007-09-28;9.025;;73.0;1.875;
2007-09-29;12.15;;66.75;2.753;
2007-09-30;11.575;4.0;78.75;1.706;3.456
2007-10-01;9.675;9.0;94.5;0.384;
2007-10-02;9.075;2.0;92.75;0.489;
2007-10-03;0.3;6.5;80.25;0.734;
2007-10-04;1.55;0.4;81.75;0.747;
2007-10-05;4.6;0.0;87.0;0.661;
2007-10-06;7.95;1.5;84.0;1.009;
2007-10-07;7.65;0.0;81.75;1.13;
2007-10-08;4.675;1.5;86.0;0.716;
2007-10-09;0.85;;52.5;1.843;
2007-10-10;-0.3;;58.75;1.461;
2007-10-11;1.175;;59.25;1.621;
2007-10-12;3.925;;66.75;1.615;
2007-10-13;8.3;;55.0;2.897;
2007-10-14;7.5;0.0;71.0;1.779;
2007-10-15;4.825;0.9;77.25;1.175;
2007-10-16;0.35;;86.25;0.513;
2007-10-17;4.7;;66.25;1.729;
2007-10-18;9.225;;53.0;3.197;
2007-10-19;6.975;;68.25;1.885;
2007-10-20;3.275;;72.5;1.277;
2007-10-21;4.425;0.4;84.75;0.767;
2007-10-22;0.475;0.0;67.75;1.215;
2007-10-23;-2.725;0.3;74.0;0.749;
2007-10-24;-2.95;2.6;91.5;0.24;
2007-10-25;-1.85;0.3;74.75;0.786;
2007-10-26;-1.6;;79.5;0.652;
2007-10-27;-0.225;8.0;95.5;0.16;
2007-10-28;-1.25;3.3;70.25;0.974;
2007-10-29;-2.2;7.2;85.25;0.445;
2007-10-30;0.875;1.0;90.0;0.389;
2007-10-31;1.45;;86.0;0.569;
2007-11-01;0.575;0.3;94.0;0.235;
2007-11-02;-0.625;0.4;93.25;0.241;
2007-11-03;-1.275;;91.75;0.279;
2007-11-04;-0.675;;85.0;0.533;
2007-11-05;3.275;;61.25;1.859;
2007-11-06;3.05;0.1;67.0;1.558;
2007-11-07;1.925;;74.25;1.12;
2007-11-08;2.175;7.6;89.0;0.487;
2007-11-09;-5.875;17.0;87.25;0.28;
2007-11-10;-10.5;1.0;74.75;0.319;
2007-11-11;-11.3;0.5;78.75;0.239;
2007-11-12;-11.55;;76.5;0.255;
2007-11-13;-10.425;;73.25;0.341;
2007-11-14;-11.875;;82.25;0.183;
2007-11-15;-8.425;2.0;83.75;0.268;
2007-11-16;-7.45;0.4;81.5;0.342;
2007-11-17;-3.5;1.4;88.75;0.312;
2007-11-18;-2.85;0.4;86.25;0.405;
2007-11-19;0.9;;87.5;0.503;
2007-11-20;0.0;0.3;72.5;1.031;
2007-11-21;-6.45;0.3;65.5;0.712;
2007-11-22;-3.7;2.0;69.0;0.844;
2007-11-23;-6.95;7.0;89.0;0.215;
2007-11-24;-12.65;3.0;80.0;0.183;
2007-11-25;-6.275;;71.25;0.605;
2007-11-26;-9.925;;80.0;0.273;
2007-11-27;-8.525;0.0;85.5;0.236;
2007-11-28;-10.2;0.0;88.0;0.158;
2007-11-29;-10.35;;84.5;0.2;
2007-11-30;-6.575;0.0;91.5;0.173;
2007-12-01;-4.575;0.3;86.5;0.327;
2007-12-02;-7.475;0.4;88.5;0.205;
2007-12-03;-9.225;0.0;89.5;0.152;
2007-12-04;-5.45;0.8;87.25;0.283;
2007-12-05;-5.95;0.0;88.5;0.242;
2007-12-06;-7.9;0.8;93.25;0.115;
2007-12-07;-10.675;0.2;93.0;0.083;
2007-12-08;-12.05;0.7;93.75;0.061;
2007-12-09;-12.5;0.4;90.0;0.091;
2007-12-10;-10.3;1.0;89.5;0.132;
2007-12-11;-13.425;0.3;87.5;0.097;
2007-12-12;-13.3;0.6;85.0;0.119;
2007-12-13;-9.975;1.5;89.25;0.141;
2007-12-14;-9.125;4.0;90.0;0.146;
2007-12-15;-13.525;0.5;91.25;0.067;
2007-12-16;-9.225;2.2;83.5;0.238;
2007-12-17;-11.55;2.0;80.5;0.205;
2007-12-18;-13.55;2.3;85.0;0.114;
2007-12-19;-10.125;0.3;81.25;0.241;
2007-12-20;-6.275;1.0;77.75;0.453;
2007-12-21;-7.725;2.0;88.5;0.199;
2007-12-22;-4.375;1.3;88.5;0.284;
2007-12-23;-4.85;0.6;78.75;0.501;
2007-12-24;-3.925;3.0;85.25;0.38;
2007-12-25;-14.475;3.0;72.75;0.175;
2007-12-26;-21.575;;77.5;0.015;
2007-12-27;-19.05;5.0;80.0;0.041;
2007-12-28;-11.333;0.9;85.0;0.163;
2007-12-29;-9.55;2.2;85.0;0.208;
2007-12-30;-14.4;;82.5;0.114;
2007-12-31;-15.475;;75.0;0.132;
2008-01-01;-13.075;12.0;82.5;0.144;
2008-01-02;-12.5;4.7;85.0;0.136;
2008-01-03;-19.975;3.8;79.75;0.03;
2008-01-04;-32.6;;77.25;0.076;
2008-01-05;-29.425;2.0;77.75;0.025;
2008-01-06;-18.575;2.0;81.25;0.045;
2008-01-07;-17.85;0.7;82.5;0.052;
2008-01-08;-18.25;0.4;88.75;0.03;
2008-01-09;-14.775;0.6;88.75;0.068;
2008-01-10;-18.25;0.9;87.5;0.033;
2008-01-11;-25.05;;85.25;0.0;
2008-01-12;-28.075;;83.75;0.009;
2008-01-13;-28.8;;82.25;0.015;
2008-01-14;-24.567;;84.667;0.0;
