дата;дней;температура;осадки;влажность;испаряемость;сумма_активных_температур;ГТК
2007-07-21;7;19.4;4.4;75.679;19.516;135.8;0.324
2007-08-01;10;19.385;18.6;73.78;30.229;193.85;0.96
2007-08-11;10;13.278;12.3;75.525;21.301;132.775;0.926
2007-08-21;11;16.611;10.4;71.826;31.321;182.725;0.569
2007-09-01;10;17.048;9.0;70.625;32.321;170.475;0.528
2007-09-11;10;13.068;4.0;69.8;28.698;104.325;0.383
2007-09-21;10;7.932;16.8;79.975;13.533;23.725;7.081
2007-10-01;10;4.602;20.9;79.925;9.174;0.0;
2007-10-11;10;5.025;0.9;67.55;17.687;0.0;
2007-10-21;11;-0.507;23.1;81.75;6.946;0.0;
2007-11-01;10;-0.795;26.4;81.75;6.91;0.0;
2007-11-11;10;-6.648;5.0;81.1;3.88;0.0;
2007-11-21;10;-8.16;12.3;80.425;3.598;0.0;
2007-12-01;10;-8.61;4.6;89.975;1.69;0.0;
2007-12-11;10;-11.008;14.7;85.1;1.822;0.0;
2007-12-21;11;-11.521;18.0;81.705;2.213;0.0;
2008-01-01;10;-19.528;27.1;83.1;0.64;0.0;
2008-01-11;10;-22.652;7.5;83.592;0.278;0.0;
2008-01-21;11;-18.23;2.5;85.568;0.502;0.0;
2008-02-01;10;-15.643;4.7;85.125;0.832;0.0;
2008-02-11;10;-14.518;15.6;79.492;1.423;0.0;
2008-02-21;9;-5.519;11.2;75.537;5.016;0.0;
2008-03-01;10;-2.66;7.6;78.4;6.201;0.0;
2008-03-11;10;-5.902;19.8;69.35;5.925;0.0;
2008-03-21;11;2.086;0.0;64.023;17.258;0.0;
2008-04-01;10;-0.138;1.8;57.1;15.718;0.0;
2008-04-11;10;2.1;5.5;65.675;16.767;11.8;4.661
2008-04-21;10;9.185;31.1;56.933;33.314;59.0;5.271
2008-05-01;9;11.139;13.0;52.0;40.061;78.375;1.659
2008-05-11;10;16.785;3.4;50.6;51.865;167.85;0.203
2008-05-21;11;12.454;8.0;57.273;38.876;116.417;0.687
2008-06-01;10;18.702;27.5;66.1;40.37;187.015;1.47
2008-06-11;10;15.695;16.8;72.65;28.129;156.95;1.07
2008-06-21;10;19.697;8.3;66.525;40.78;196.975;0.421
2008-07-01;10;20.282;8.1;64.15;43.781;202.817;0.399
2008-07-11;10;23.372;4.0;62.833;50.65;233.717;0.171
2008-07-21;11;21.404;25.9;69.795;42.442;235.442;1.1
2008-08-01;10;19.672;6.0;62.425;43.822;196.725;0.305
2008-08-11;10;17.294;18.5;73.208;28.869;172.942;1.07
2008-08-21;11;14.78;10.1;67.455;33.489;162.575;0.621
2008-09-01;10;13.961;15.0;74.35;24.354;129.633;1.157
2008-09-11;10;7.63;11.3;77.958;14.696;43.9;2.574
2008-09-21;10;6.45;4.6;68.725;18.63;0.0;
2008-10-01;10;8.01;3.0;66.25;21.741;10.55;2.844
