дата;температура;осадки;влажность;испаряемость;сумма_активных_температур;ГТК;SPI_3;SPEI_3
2007-07-01;19.4;4.4;75.679;19.516;135.8;0.324;;
2007-08-01;16.431;41.3;73.649;82.851;509.35;0.811;;
2007-09-01;12.683;29.8;73.467;74.553;298.525;0.998;-2.158;1.229
2007-10-01;2.926;44.9;76.581;33.807;0.0;;-0.285;0.634
2007-11-01;-5.201;43.7;81.092;14.388;0.0;;-0.147;0.332
2007-12-01;-10.416;37.3;85.468;5.725;0.0;;0.034;0.448
2008-01-01;-20.075;37.1;84.134;1.419;0.0;;-0.006;0.084
2008-02-01;-12.113;31.5;80.207;7.272;0.0;;0.301;0.402
2008-03-01;-2.022;27.4;70.379;29.385;0.0;;0.612;0.408
2008-04-01;3.716;38.4;59.903;65.799;70.8;5.424;1.158;0.771
2008-05-01;13.503;24.4;53.467;130.802;362.642;0.673;0.099;0.103
2008-06-01;18.031;52.6;68.425;109.28;540.94;0.972;0.146;0.723
2008-07-01;21.677;38.0;65.728;136.874;671.975;0.565;-0.255;0.096
2008-08-01;17.169;34.6;67.688;106.18;532.242;0.65;-0.461;0.505
2008-09-01;9.347;30.9;73.678;57.679;173.533;1.781;-0.789;-0.101
2008-10-01;5.191;35.8;73.065;46.069;22.4;15.982;-0.683;0.011
2008-11-01;-0.828;35.9;85.733;15.844;0.0;;-0.736;-0.045
2008-12-01;-13.478;37.4;83.043;3.6;0.0;;-0.445;-0.377
2009-01-01;-16.028;42.3;80.589;4.187;0.0;;-0.113;-0.131
2009-02-01;-19.386;36.0;77.312;2.188;0.0;;0.641;0.948
2009-03-01;-5.331;12.1;71.774;22.266;0.0;;0.433;0.537
2009-04-01;5.138;36.1;68.983;52.505;21.825;16.541;0.557;1.075
2009-05-01;13.113;28.3;57.032;118.202;357.6;0.791;-0.367;0.366
2009-06-01;14.335;97.6;72.328;82.788;395.308;2.469;1.232;1.442
2009-07-01;19.249;62.3;71.304;102.999;596.733;1.044;0.636;1.456
2009-08-01;17.565;59.5;71.202;95.551;544.525;1.093;1.198;1.837
2009-09-01;11.421;26.9;69.989;72.178;274.325;0.981;0.368;0.993
2009-10-01;3.582;44.1;79.898;34.88;64.43;6.845;0.101;0.69
2009-11-01;-7.053;42.0;86.664;7.073;0.0;;-0.341;0.426
2009-12-01;-18.07;47.8;85.616;3.266;0.0;;0.257;0.822
2010-01-01;-25.037;12.2;81.325;0.969;0.0;;-0.701;-0.191
2010-02-01;-21.647;11.5;78.596;2.082;0.0;;-0.921;-0.658
2010-03-01;-7.109;44.3;83.444;10.295;0.0;;-0.317;0.297
2010-04-01;3.653;44.0;67.576;57.041;77.562;5.673;1.27;1.585
2010-05-01;9.624;64.9;62.601;86.992;200.118;3.243;1.838;1.653
2010-06-01;17.85;21.7;59.39;138.928;535.499;0.405;0.504;1.031
2010-07-01;18.003;63.6;68.671;107.564;558.097;1.14;0.175;0.873
2010-08-01;17.616;9.1;66.165;112.923;546.111;0.167;-2.171;0.02
2010-09-01;11.437;22.7;66.062;86.814;248.688;0.913;-1.085;-0.351
2010-10-01;5.459;23.0;70.888;51.373;41.104;5.596;-1.984;-1.501
2010-11-01;-2.826;73.0;81.697;18.334;0.0;;-0.136;-0.666
2010-12-01;-19.457;69.3;77.022;3.435;0.0;;1.104;0.891
2011-01-01;-21.756;6.6;77.292;3.208;0.0;;1.298;1.271
2011-02-01;-13.081;19.4;78.035;6.271;0.0;;-0.071;0.032
2011-03-01;-5.659;13.8;69.693;22.659;0.0;;-1.356;-1.243
2011-04-01;7.985;35.1;63.255;80.672;144.668;2.426;-0.197;-0.198
2011-05-01;12.23;28.3;50.832;127.743;304.525;0.929;-0.342;-0.15
2011-06-01;21.284;22.1;58.804;160.704;638.51;0.346;-0.568;-0.209
2011-07-01;17.644;52.6;66.415;110.269;546.961;0.962;-0.402;-0.249
2011-08-01;15.968;55.1;72.755;85.548;485.041;1.136;-0.332;0.51
2011-09-01;12.414;29.4;63.636;94.051;329.773;0.892;0.12;0.59
2011-10-01;7.076;28.7;76.008;49.376;156.912;1.829;-0.36;-0.124
2011-11-01;-7.751;36.5;79.101;13.251;0.0;;-1.061;-1.33
2011-12-01;-11.925;33.7;81.825;5.709;0.0;;-0.743;-0.836
2012-01-01;-19.325;8.1;81.984;1.762;0.0;;-1.744;-1.567
2012-02-01;-17.543;1.3;78.903;2.676;0.0;;-1.96;-1.749
2012-03-01;-3.771;25.4;72.507;23.1;0.0;;-1.554;-1.254
2012-04-01;7.228;3.2;52.227;90.706;76.052;0.421;-2.142;-1.332
2012-05-01;12.023;12.6;50.126;129.846;275.004;0.458;-1.846;-0.827
2012-06-01;23.004;25.3;50.079;210.243;690.116;0.367;-1.653;-1.451
2012-07-01;23.8;1.6;53.88;199.947;737.791;0.022;-1.186;-1.996
2012-08-01;17.635;97.4;67.029;110.816;546.691;1.782;-0.488;-2.083
2012-09-01;13.046;29.9;66.051;94.639;302.608;0.988;-0.07;-1.47
2012-10-01;3.23;42.5;71.751;42.258;35.642;11.924;1.118;0.585
2012-11-01;-7.028;81.4;84.732;9.78;0.0;;0.992;0.66
2012-12-01;-23.819;25.0;77.074;2.889;0.0;;0.667;0.926
2013-01-01;-15.345;43.5;82.331;3.811;0.0;;1.339;1.618
2013-02-01;-14.058;33.0;78.654;5.104;0.0;;0.147;0.33
2013-03-01;-6.072;34.8;70.646;19.02;0.0;;1.085;1.212
2013-04-01;4.486;23.0;63.146;60.791;72.075;3.191;0.862;1.042
2013-05-01;8.807;73.8;63.029;79.733;137.646;5.362;1.299;1.4
2013-06-01;15.34;;61.72;115.234;438.982;;;
2013-07-01;20.237;;66.58;125.239;627.354;;;
2013-08-01;18.171;;75.468;81.57;563.3;;;
2013-09-01;9.894;;73.667;61.678;197.55;;;
2013-10-01;3.87;17.8;77.174;12.248;10.4;17.115;;
2013-11-01;-1.894;4.3;82.598;6.226;0.0;;;
2013-12-01;-6.726;38.5;82.672;11.344;0.0;;-1.914;-0.828
2014-01-01;-15.218;60.0;81.317;4.829;0.0;;-0.666;-0.659
2014-02-01;-18.177;29.2;79.686;3.17;0.0;;1.054;1.043
2014-03-01;-2.611;21.1;73.609;27.603;0.0;;1.055;0.953
2014-04-01;5.848;19.7;54.429;82.536;78.775;2.501;-0.115;-0.253
2014-05-01;10.503;44.1;52.528;111.475;208.275;2.117;-0.076;0.09
2014-06-01;18.298;15.2;52.175;173.476;492.738;0.308;-0.725;-0.264
2014-07-01;20.878;76.1;60.657;155.405;647.225;1.176;-0.006;-0.343
2014-08-01;19.069;40.2;62.71;135.121;564.125;0.713;-0.287;-1.009
2014-09-01;8.758;53.4;68.954;63.867;110.062;4.852;0.764;0.105
2014-10-01;0.816;80.1;77.935;27.272;0.0;;1.217;1.027
2014-11-01;-8.814;63.9;83.64;7.98;0.0;;2.165;2.532
2014-12-01;-10.877;35.5;80.331;7.676;0.0;;1.474;1.57
