station_id,country,region,Name,Name2,lat,lon,elevation,date,Tem,Os,SPEI3,SPEI6,SPEI9,SPEI12
17030,TR,SAM,,Samsun,41.2833,36.3333,4,2021-08-01,25.3,51.0,0.95212926391765,1.097812653195444,0.3417538394810569,-0.20901177723245123
17060,TR,IST,LTBA,Istanbul / Ataturk,40.9667,28.8167,48,2021-08-01,26.7,0.0,-0.953585074108565,-0.8907492857954845,-1.078411953769453,-1.015587495298562
17095,TR,EZR,,Erzurum Bolge / Dada?,39.9,41.2833,1869,2021-08-01,20.4,63.0,0.27599054487286045,-1.581533206008666,-1.53149880492413,-1.604038833208582
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,2021-08-01,25.9,2.0,-0.8994114592844134,0.19767623784120672,-0.29046567895112885,-1.0576898988180905
17116,TR,BRS,LTBE,Bursa,40.1833,29.0667,101,2021-08-01,26.4,0.2,0.4389387997618061,0.330786726269406,0.9798533223301892,0.35715166168323903
17124,TR,ESK,LTBI,Eskisehir,39.7833,30.5667,785,2021-08-01,22.8,0.0,0.8276933281954604,0.435281005467657,-0.1868424430804865,0.19292545646342807
17130,TR,ANK,,Ankara / Central,39.95,32.8833,891,2021-08-01,25.6,17.0,-0.006947472488970184,-0.7456007254472964,-1.2563497702204183,-1.7913970130264822
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,2021-08-01,26.3,0.0,0.4772760312184205,1.0464683352386661,1.034919067520019,0.2362714104410428
17170,TR,VAN,LTCI,Van,38.45,43.3167,1667,2021-08-01,22.4,1.0,-1.524821384799081,-2.189848271475086,-2.2827614014794597,-2.570914626252166
17195,TR,KAY,LTAU,Kayseri / Erkilet,38.7833,35.4833,1053,2021-08-01,21.7,17.0,0.7157514589398362,0.5354984337184004,0.31083130027086625,-0.5797740782084886
17220,TR,IZM,,Izmir,38.4333,27.1667,25,2021-08-01,30.1,0.0,0.13091806381605728,-0.051889175016561685,1.6684353139067516,0.9974406671963525
17234,TR,AYI,LTBD,Aydin,37.85,27.85,57,2021-08-01,30.4,0.0,-1.6685254864064554,0.22634087179635837,-0.650246192715147,-1.301348951148917
17237,TR,DEN,,Denizli,37.7667,29.0833,428,2021-08-01,30.5,0.0,-1.3949490054219866,-1.643244132926017,-1.7499076906679216,-1.7965587063898938
17280,TR,DIY,LTCC,Diyarbakir,37.8833,40.1833,686,2021-08-01,30.9,2.0,-1.3479293968726447,-2.103118028785052,-2.0897836380617143,-2.1997632656942656
17340,TR,MER,,Mersin,36.8167,34.6,3,2021-08-01,30.3,43.0,0.5399178539710026,-0.11324955725023093,-0.7079104978777235,-1.3620121399235046
